Gender,qualification,occupation,internet_time_aday,Instagram,Youtube,Whatsapp,Facebook,Google,Snap chat,news_consume[Google],news_consume[Youtube],news_consume[TV],news_consume[NewsP],news_consume[Facebook],content_consume[Video],content_consume[Text],content_consume[Audio],content_consume[Meme],medium_trust[Video],medium_trust[Audio],medium_trust[Meme],medium_trust[Text],type_of_ content_trustP,type_of_ content_trustC,type_of_ content_trust S,type_of_ content_trust R,encountered_fake_ video,detect_fake_ video?,How_identify_fv[BG]?,How_identify_fv[Eye]?,How_identify_fv[lips]?,How_identify_fv[qual]?,detect_fake_ image?,How_identify_fimg[BG]?,How_identify_fimg[eye]?,How_identify_fimg[FaceE]?,How_identify_fimg[qual]?,post_v/I_social media?,How_often_post your v/i _ social_media?,Filter_apps[snap],Filter_apps[Insta],Filter_apps[B612],Filter_apps[galary],use_face swapping app?,tried_filer_celebface,1 videos/images received,Fv_voilate_persons_identity,target_fake images/videos?,tom_BF,obama_RF,obama_LF,heard_deep_fake?,srk,nawz_f,harp_R,emma_F,kevin_R,anush_F,Kajol_F,srk2_F,tom_F,will_F,emma_R,Jony_R,anan_F,nasir_F,Scores,statementby_political_leader,statementby_Celeb,statementby_religious_leader.,video/image_ true? [Political content],video/image_ true? [celeb content],video/image_ true? [Religious content],video/image_ true? [Humorous content],content_most likely to share? [Political content],content_most likely to share? [Religious content],content_most likely to share? [1 content],content_most likely to share? [Humorous content]
Male,Graduate,Student,5,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Yes,Yes,1,0,0,1,Yes,1,0,1,1,1,Occasionally,0,0,0,0,0,0,Igored,1,0,Right,Left,Both,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,9,76%-100%,0%- 25%,76%- 100%,2,3,1,2,1,1,3,3
Male,Jr College,Student,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Maybe,No,0,0,0,0,No,0,0,0,0,0,Occasionally,0,0,0,1,0,0,Read and Igored,0,0,None,Right,Second,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,4,0%- 25%,26%- 30%,26%- 50%,1,2,2,1,2,2,2,2
Male,Graduate,Unemployed,6,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,0,0,0,1,Yes,0,0,1,1,0,Not applicable,0,0,0,0,0,0,Igored,1,0,Right,Right,First,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,9,0%- 25%,0%- 25%,0%- 25%,1,1,1,1,1,1,1,5
Male,Post Graduate,Student,5,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Yes,Maybe,1,1,1,1,Maybe,1,1,1,1,1,Occasionally,0,0,0,1,0,0,Read and Igored,1,0,Both,Right,First,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,10,0%- 25%,0%- 25%,51%- 75%,3,5,2,2,3,3,2,5
Male,Graduate,Private sector,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,Yes,Yes,1,0,1,0,Yes,1,0,1,1,1,Occasionally,0,1,0,0,0,0,Believed and shared,1,0,Left,Right,First,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,9,0%- 25%,0%- 25%,0%- 25%,2,4,1,3,2,1,2,5
Male,Graduate,Student,6,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Yes,Maybe,1,1,1,1,Yes,1,0,0,1,1,Occasionally,0,0,0,0,0,0,Read and Igored,1,0,Both,None,First,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,7,26%-50%,0%- 25%,0%- 25%,3,4,3,4,1,1,1,5
Female,Post Graduate,Student,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Yes,Yes,1,1,1,1,Maybe,1,1,1,1,0,Not applicable,1,0,0,0,0,0,Igored,1,0,Both,Right,First,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,10,0%- 25%,0%- 25%,0%- 25%,1,1,1,1,1,1,1,1
Male,Post Graduate,Private sector,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,Yes,Maybe,1,0,0,1,Maybe,1,0,1,1,1,Occasionally,1,0,0,0,0,0,Igored,1,0,Both,Right,First,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,12,0%- 25%,0%- 25%,0%- 25%,2,4,1,3,4,1,1,4
Male,Post Graduate,Student,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,Yes,Yes,0,0,1,0,Yes,0,0,0,1,1,Occasionally,0,1,0,0,0,0,Believed and shared,1,1,Right,Left,First,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,10,26%-50%,0%- 25%,0%- 25%,2,2,2,1,2,3,2,3
Female,School,Student,6,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,Yes,Maybe,1,0,1,0,Maybe,1,0,0,1,0,Not applicable,1,0,0,0,0,0,Read and Igored,1,0,Right,Right,First,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,8,0%- 25%,0%- 25%,0%- 25%,1,3,2,2,1,1,3,5
